AU,ex
4.653488372093020908e-01,0.000000000000000000e+00
5.507142857142857117e-01,0.000000000000000000e+00
4.347985120892741695e-01,0.000000000000000000e+00
2.487970430107528386e-01,0.000000000000000000e+00
1.539370078740157632e-01,0.000000000000000000e+00
1.798664688427301650e-01,0.000000000000000000e+00
9.158988764044949660e-01,0.000000000000000000e+00
1.116544297601565899e-01,0.000000000000000000e+00
3.518351324828253301e-01,0.000000000000000000e+00
5.879621848739504664e-01,0.000000000000000000e+00
1.009369768586902527e+00,0.000000000000000000e+00
4.103869969040252474e-01,0.000000000000000000e+00
4.280499015101776328e-01,0.000000000000000000e+00
9.177714285714272391e-01,0.000000000000000000e+00
2.852375809935203677e-01,0.000000000000000000e+00
5.923452768729629003e-01,0.000000000000000000e+00
6.375665710774260919e-01,0.000000000000000000e+00
5.757102272727279008e-02,0.000000000000000000e+00
5.253582554517131076e-01,0.000000000000000000e+00
3.353217821782178421e-01,0.000000000000000000e+00
6.363353293413168688e-01,0.000000000000000000e+00
1.758985429033992076e-01,0.000000000000000000e+00
2.851563003544952402e-01,0.000000000000000000e+00
4.768217734855135226e-01,0.000000000000000000e+00
4.240949820788528224e-01,0.000000000000000000e+00
5.503846153846141398e-01,0.000000000000000000e+00
4.015866084425035454e-01,0.000000000000000000e+00
1.490562378797673504e-01,0.000000000000000000e+00
-1.309672040022235306e-01,0.000000000000000000e+00
1.493579766536965447e-01,0.000000000000000000e+00
6.121523178807941612e-01,0.000000000000000000e+00
7.328070175438599065e-01,0.000000000000000000e+00
4.205096040768323551e-01,0.000000000000000000e+00
3.655339265850950925e-01,0.000000000000000000e+00
1.772730956239870204e-01,0.000000000000000000e+00
3.490697674418604679e-01,0.000000000000000000e+00
6.468135593220339929e-01,0.000000000000000000e+00
1.460377358490566324e-01,0.000000000000000000e+00
3.444638276038990976e-01,0.000000000000000000e+00
2.989514066496162803e-01,0.000000000000000000e+00
1.237222222222222445e+00,0.000000000000000000e+00
6.218477457501846439e-01,0.000000000000000000e+00
4.036024844720499383e-01,0.000000000000000000e+00
5.627599524658344343e-01,0.000000000000000000e+00
4.065849387040276208e-01,0.000000000000000000e+00
4.627487103905678772e-02,0.000000000000000000e+00
3.713473053892212827e-01,0.000000000000000000e+00
6.165925690695436279e-01,0.000000000000000000e+00
7.173493975903613706e-02,0.000000000000000000e+00
7.205501889962201423e-01,0.000000000000000000e+00
6.646999999999995135e-01,0.000000000000000000e+00
2.022588235294115744e-01,0.000000000000000000e+00
6.055962285080419560e-01,0.000000000000000000e+00
6.257165861513687144e-01,0.000000000000000000e+00
4.021501272264634275e-01,0.000000000000000000e+00
4.077063492063490724e-01,0.000000000000000000e+00
1.010449141347424362e+00,0.000000000000000000e+00
5.330836746635458923e-01,0.000000000000000000e+00
1.311798029556649592e+00,1.000000000000000000e+00
6.320588235294118951e-01,1.000000000000000000e+00
5.519747899159666016e-01,1.000000000000000000e+00
8.229268292682932751e-02,1.000000000000000000e+00
2.855016910935735397e-01,1.000000000000000000e+00
1.409433962264150797e-01,1.000000000000000000e+00
3.204922067268247687e-01,2.000000000000000000e+00
4.520833333333336423e-02,2.000000000000000000e+00
1.378147762747139737e-01,2.000000000000000000e+00
1.035027223230489679e-01,2.000000000000000000e+00
1.071875881523272733e+00,2.000000000000000000e+00
2.009753593429157992e-01,2.000000000000000000e+00
4.182240437158470381e-01,2.000000000000000000e+00
5.745880681818181790e-01,2.000000000000000000e+00
8.277600000000011338e-02,2.000000000000000000e+00
4.100380952380952571e-01,2.000000000000000000e+00
9.270243902439028183e-01,2.000000000000000000e+00
5.003582718651209404e-01,2.000000000000000000e+00
5.662464985994398736e-01,2.000000000000000000e+00
1.694736842105262209e-01,2.000000000000000000e+00
2.287771739130435855e-01,2.000000000000000000e+00
4.136248561565017967e-01,2.000000000000000000e+00
5.439000000000000501e-01,2.000000000000000000e+00
7.850921273031831460e-02,2.000000000000000000e+00
1.300720000000001042e-01,2.000000000000000000e+00
1.759976019184651852e+00,3.000000000000000000e+00
5.485714285714285432e-02,3.000000000000000000e+00
3.655537052456286906e-01,3.000000000000000000e+00
2.269251700680271211e-01,3.000000000000000000e+00
7.915492957746474156e-02,3.000000000000000000e+00
8.551344743276281801e-02,3.000000000000000000e+00
6.217765042979942619e-03,3.000000000000000000e+00
3.308368200836818707e-01,3.000000000000000000e+00
5.219780219780223440e-01,3.000000000000000000e+00
1.467405764966741577e-01,3.000000000000000000e+00
6.419683257918554764e-01,3.000000000000000000e+00
6.916044776119409376e-02,3.000000000000000000e+00
8.919230769230767075e-01,3.000000000000000000e+00
7.679166666666671359e-01,3.000000000000000000e+00
5.250229990800365371e-02,3.000000000000000000e+00
6.145283018867924163e-01,3.000000000000000000e+00
2.690617283950612060e-01,3.000000000000000000e+00
1.806362545018007637e-01,3.000000000000000000e+00
1.743421052631579163e-02,3.000000000000000000e+00
8.031390134529146074e-01,3.000000000000000000e+00
3.937480519480518026e+00,3.000000000000000000e+00
3.727802690582959211e-01,3.000000000000000000e+00
7.931558935361213147e-02,4.000000000000000000e+00
6.038612716763003263e-01,4.000000000000000000e+00
6.295188284518827837e-01,4.000000000000000000e+00
8.035451837140014097e-01,4.000000000000000000e+00
2.593137254901961217e-02,4.000000000000000000e+00
4.357841483979759123e-01,4.000000000000000000e+00
9.050556983718947845e-02,4.000000000000000000e+00
4.032407407407406219e-01,4.000000000000000000e+00
1.348479999999999124e-01,4.000000000000000000e+00
7.045714285714286262e-01,4.000000000000000000e+00
2.725945017182131516e-02,4.000000000000000000e+00
8.327411167512692447e-02,4.000000000000000000e+00
1.826991150442478229e-01,4.000000000000000000e+00
2.577272727272726938e-01,4.000000000000000000e+00
5.857692307692307088e-01,4.000000000000000000e+00
4.073862536302030324e-01,4.000000000000000000e+00
4.864028776978414625e-01,4.000000000000000000e+00
1.370273794002607737e-01,4.000000000000000000e+00
1.341891891891892341e-01,4.000000000000000000e+00
-6.262975778546716298e-03,4.000000000000000000e+00
4.075473801560754450e-01,5.000000000000000000e+00
8.165822784810122803e-01,5.000000000000000000e+00
2.226162790697674698e-01,5.000000000000000000e+00
5.478620689655173681e-01,5.000000000000000000e+00
8.486615186615193984e-01,5.000000000000000000e+00
2.136507936507939520e-01,5.000000000000000000e+00
4.502086230876216622e-01,5.000000000000000000e+00
9.297106690777574567e-01,5.000000000000000000e+00
5.195402298850575196e-02,5.000000000000000000e+00
6.501006711409389460e-01,5.000000000000000000e+00
2.718320610687024463e-01,5.000000000000000000e+00
4.896474358974360341e-01,5.000000000000000000e+00
7.165116279069764227e-01,5.000000000000000000e+00
3.191121495327103874e-01,5.000000000000000000e+00
7.582608695652172381e-02,5.000000000000000000e+00
3.408453608247419830e-01,5.000000000000000000e+00
2.720408163265306545e-01,5.000000000000000000e+00
6.239999999999999991e-01,5.000000000000000000e+00
3.252941176470587892e-01,5.000000000000000000e+00
4.723118279569894495e-01,5.000000000000000000e+00
