AU,ex
2.360150848522941658e-01,0.000000000000000000e+00
7.571626984126985649e-01,0.000000000000000000e+00
5.425666460012399384e-01,0.000000000000000000e+00
2.136693548387094133e-01,0.000000000000000000e+00
2.692125984251967918e-01,0.000000000000000000e+00
3.932047477744807784e-01,0.000000000000000000e+00
6.725842696629213968e-02,0.000000000000000000e+00
2.098433675966714096e-01,0.000000000000000000e+00
7.367713444553483093e-01,0.000000000000000000e+00
5.310154061624635657e-01,0.000000000000000000e+00
4.054406696208768257e-01,0.000000000000000000e+00
4.669504643962857360e-01,0.000000000000000000e+00
2.524491135915958306e-01,0.000000000000000000e+00
2.993877551020407424e-01,0.000000000000000000e+00
7.310475161987048942e-01,0.000000000000000000e+00
2.836970684039087920e-01,0.000000000000000000e+00
2.266366243342886333e-01,0.000000000000000000e+00
8.548011363636358606e-01,0.000000000000000000e+00
4.352024922118382100e-01,0.000000000000000000e+00
1.486138613861386348e-01,0.000000000000000000e+00
7.508263473053893300e-01,0.000000000000000000e+00
3.255693470048562910e-01,0.000000000000000000e+00
7.998936513051875252e-01,0.000000000000000000e+00
1.570588235294118340e-01,0.000000000000000000e+00
4.781989247311830837e-01,0.000000000000000000e+00
1.018374306106263338e+00,0.000000000000000000e+00
5.009024745269281542e-01,0.000000000000000000e+00
1.535358758888170638e-01,0.000000000000000000e+00
3.799055030572541236e-01,0.000000000000000000e+00
7.346498054474691619e-01,0.000000000000000000e+00
5.237086092715227403e-01,0.000000000000000000e+00
8.229239766081871688e-01,0.000000000000000000e+00
1.941709133673068521e-01,0.000000000000000000e+00
7.694104560622920530e-02,0.000000000000000000e+00
6.921393841166938454e-01,0.000000000000000000e+00
7.353488372093024417e-01,0.000000000000000000e+00
1.134169491525423235e+00,0.000000000000000000e+00
4.609119496855345055e-01,0.000000000000000000e+00
4.566649563878910634e-01,0.000000000000000000e+00
3.832225063938624054e-01,0.000000000000000000e+00
2.927777777777777479e-01,0.000000000000000000e+00
1.308507021433851669e+00,0.000000000000000000e+00
8.803450655624573962e-01,0.000000000000000000e+00
6.899643493761162816e-01,0.000000000000000000e+00
2.234413309982488938e-01,0.000000000000000000e+00
5.035924834193067356e-01,0.000000000000000000e+00
5.252170658682642213e-01,0.000000000000000000e+00
1.125150841536994573e-01,0.000000000000000000e+00
4.755662650602411334e-01,0.000000000000000000e+00
4.931079378412416836e-01,0.000000000000000000e+00
4.970199999999993512e-01,0.000000000000000000e+00
4.587952941176455246e-01,0.000000000000000000e+00
3.133388796450359282e-01,0.000000000000000000e+00
3.914170692431560572e-01,0.000000000000000000e+00
5.498346055979639324e-01,0.000000000000000000e+00
4.229365079365081659e-01,0.000000000000000000e+00
5.094187582562746952e-01,0.000000000000000000e+00
5.716559391456983441e-01,0.000000000000000000e+00
3.340640394088669196e-01,1.000000000000000000e+00
5.427205882352941213e-01,1.000000000000000000e+00
1.337500000000000799e+00,1.000000000000000000e+00
1.389597560975610380e+00,1.000000000000000000e+00
5.242728297632466283e-01,1.000000000000000000e+00
7.418867924528300684e-01,1.000000000000000000e+00
1.028720262510256278e+00,2.000000000000000000e+00
1.044320175438597120e+00,2.000000000000000000e+00
6.312382934443290239e-01,2.000000000000000000e+00
2.101088929219600554e-01,2.000000000000000000e+00
3.809026798307476036e-01,2.000000000000000000e+00
1.269712525667351100e-01,2.000000000000000000e+00
5.737431693989067938e-01,2.000000000000000000e+00
1.100156249999999281e+00,2.000000000000000000e+00
5.321839999999993243e-01,2.000000000000000000e+00
3.404857142857138919e-01,2.000000000000000000e+00
1.877073170731707041e-01,2.000000000000000000e+00
7.665964172813483080e-01,2.000000000000000000e+00
5.640336134453777239e-01,2.000000000000000000e+00
6.302631578947366364e-01,2.000000000000000000e+00
1.324610507246376745e+00,2.000000000000000000e+00
4.772151898734176556e-01,2.000000000000000000e+00
3.651000000000000356e-01,2.000000000000000000e+00
7.796984924623100444e-01,2.000000000000000000e+00
4.205279999999999574e-01,2.000000000000000000e+00
1.126306954436449903e+00,3.000000000000000000e+00
8.935714285714292382e-01,3.000000000000000000e+00
3.293671940049954783e-01,3.000000000000000000e+00
1.438870748299321267e+00,3.000000000000000000e+00
3.066431924882627724e-01,3.000000000000000000e+00
5.296332518337407702e-01,3.000000000000000000e+00
7.338872970391598916e-01,3.000000000000000000e+00
4.945397489539745672e-01,3.000000000000000000e+00
2.742124542124542708e-01,3.000000000000000000e+00
3.596895787139691714e-01,3.000000000000000000e+00
1.490633484162894318e+00,3.000000000000000000e+00
8.748880597014930816e-01,3.000000000000000000e+00
1.071842105263158151e+00,3.000000000000000000e+00
2.817187499999998512e-01,3.000000000000000000e+00
4.263845446182148446e-01,3.000000000000000000e+00
7.188679245283017272e-01,3.000000000000000000e+00
7.571358024691356992e-01,3.000000000000000000e+00
3.987154861944781081e-01,3.000000000000000000e+00
1.107894736842105210e-01,3.000000000000000000e+00
4.541704035874442047e-01,3.000000000000000000e+00
1.236363636363636415e-01,3.000000000000000000e+00
6.695067264573990873e-02,3.000000000000000000e+00
5.542965779467677878e-01,4.000000000000000000e+00
9.450289017341045872e-01,4.000000000000000000e+00
3.882426778242676346e-01,4.000000000000000000e+00
5.519165839126112250e-01,4.000000000000000000e+00
1.442320261437908702e+00,4.000000000000000000e+00
9.871838111298487650e-01,4.000000000000000000e+00
6.586203941730938149e-01,4.000000000000000000e+00
1.000648148148148175e+00,4.000000000000000000e+00
2.082560000000000522e-01,4.000000000000000000e+00
3.385714285714286342e-01,4.000000000000000000e+00
4.023109965635736640e-01,4.000000000000000000e+00
8.535786802030463916e-01,4.000000000000000000e+00
3.095575221238937025e-01,4.000000000000000000e+00
9.022727272727271153e-01,4.000000000000000000e+00
8.492307692307693445e-01,4.000000000000000000e+00
1.319757986447240850e+00,4.000000000000000000e+00
8.449560351718627960e-01,4.000000000000000000e+00
2.305736636245112603e-01,4.000000000000000000e+00
3.652702702702700366e-01,4.000000000000000000e+00
5.308650519031138382e-01,4.000000000000000000e+00
3.054849498327759649e-01,5.000000000000000000e+00
2.906751054852320659e-01,5.000000000000000000e+00
1.423255813953488547e+00,5.000000000000000000e+00
6.442988505747127004e-01,5.000000000000000000e+00
3.918404118404115732e-01,5.000000000000000000e+00
5.061531279178342890e-01,5.000000000000000000e+00
8.735187760778865274e-01,5.000000000000000000e+00
7.728028933092225827e-01,5.000000000000000000e+00
3.641954022988507789e-01,5.000000000000000000e+00
1.492416107382549484e+00,5.000000000000000000e+00
9.008396946564880547e-01,5.000000000000000000e+00
2.390384615384615885e-01,5.000000000000000000e+00
7.887596899224806890e-01,5.000000000000000000e+00
2.575233644859813986e-01,5.000000000000000000e+00
8.047826086956528790e-01,5.000000000000000000e+00
1.627628865979381945e-01,5.000000000000000000e+00
8.831632653061223248e-01,5.000000000000000000e+00
1.799999999999999933e-01,5.000000000000000000e+00
6.002028397565924989e-01,5.000000000000000000e+00
6.020430107526885122e-01,5.000000000000000000e+00
