AU,ex
1.487429289754871875e-01,0.000000000000000000e+00
5.612103174603174649e-01,0.000000000000000000e+00
1.613329200247984041e-01,0.000000000000000000e+00
2.818548387096773966e-02,0.000000000000000000e+00
2.916010498687664210e-02,0.000000000000000000e+00
1.177448071216617986e-01,0.000000000000000000e+00
1.155662921348314498e+00,0.000000000000000000e+00
1.447870778267255076e-01,0.000000000000000000e+00
5.267909715407272098e-02,0.000000000000000000e+00
4.089355742296917340e-01,0.000000000000000000e+00
5.772131954702112155e-01,0.000000000000000000e+00
4.172755417956658386e-01,0.000000000000000000e+00
2.027839789888377375e-01,0.000000000000000000e+00
9.973877551020407517e-02,0.000000000000000000e+00
2.577645788336934696e-01,0.000000000000000000e+00
7.860749185667750827e-02,0.000000000000000000e+00
1.327324866857843844e-01,0.000000000000000000e+00
5.582386363636364889e-03,0.000000000000000000e+00
3.807788161993769793e-01,0.000000000000000000e+00
1.923267326732673241e-02,0.000000000000000000e+00
2.241197604790419462e-01,0.000000000000000000e+00
2.182406907717215905e-02,0.000000000000000000e+00
4.585562359007412658e-02,0.000000000000000000e+00
2.422300263388939001e-01,0.000000000000000000e+00
2.606541218637993818e-01,0.000000000000000000e+00
1.349841395717684966e-01,0.000000000000000000e+00
3.203784570596799886e-01,0.000000000000000000e+00
2.527601809954753698e-01,0.000000000000000000e+00
1.239521956642579137e-01,0.000000000000000000e+00
1.128404669260699850e-01,0.000000000000000000e+00
1.522185430463577627e-01,0.000000000000000000e+00
2.667251461988304206e-01,0.000000000000000000e+00
2.001058408467266125e-01,0.000000000000000000e+00
6.375417130144606093e-02,0.000000000000000000e+00
1.459764991896270736e-01,0.000000000000000000e+00
3.711627906976744939e-01,0.000000000000000000e+00
6.572881355932206349e-01,0.000000000000000000e+00
4.333333333333332787e-02,0.000000000000000000e+00
2.723396613648028652e-01,0.000000000000000000e+00
1.678260869565217639e-01,0.000000000000000000e+00
1.368055555555555358e+00,0.000000000000000000e+00
7.412416851441244736e-02,0.000000000000000000e+00
5.418012422360242164e-01,0.000000000000000000e+00
4.143790849673200521e-02,0.000000000000000000e+00
9.946584938704038092e-02,0.000000000000000000e+00
6.508474576271180978e-02,0.000000000000000000e+00
2.137275449101796176e-01,0.000000000000000000e+00
2.634106065417587406e-01,0.000000000000000000e+00
4.454457831325303041e-01,0.000000000000000000e+00
8.952540949181019003e-02,0.000000000000000000e+00
1.913700000000001511e-01,0.000000000000000000e+00
4.463058823529422736e-02,0.000000000000000000e+00
5.872767609539659706e-01,0.000000000000000000e+00
8.144927536231884313e-02,0.000000000000000000e+00
5.296692111959282467e-01,0.000000000000000000e+00
3.298412698412697686e-01,0.000000000000000000e+00
1.526155878467634619e-01,0.000000000000000000e+00
2.768402574605030586e-01,0.000000000000000000e+00
5.882594417077178367e-02,1.000000000000000000e+00
4.670588235294117485e-01,1.000000000000000000e+00
2.026260504201682633e-01,1.000000000000000000e+00
1.198658536585365531e-01,1.000000000000000000e+00
1.274069898534386236e-01,1.000000000000000000e+00
2.396226415094339923e-01,1.000000000000000000e+00
7.804757998359306004e-02,2.000000000000000000e+00
2.794407894736839482e-01,2.000000000000000000e+00
1.649115504682624189e-01,2.000000000000000000e+00
6.228675136116155336e-02,2.000000000000000000e+00
7.943582510578281464e-02,2.000000000000000000e+00
7.225872689938404869e-02,2.000000000000000000e+00
1.589617486338797125e-01,2.000000000000000000e+00
9.419034090909089718e-02,2.000000000000000000e+00
1.337839999999999585e-01,2.000000000000000000e+00
2.292095238095238352e-01,2.000000000000000000e+00
2.245853658536585418e-01,2.000000000000000000e+00
2.150263435194942896e-01,2.000000000000000000e+00
1.243417366946779068e-01,2.000000000000000000e+00
4.552631578947368557e-02,2.000000000000000000e+00
9.029891304347838210e-02,2.000000000000000000e+00
6.011392405063289424e-01,2.000000000000000000e+00
1.321000000000000507e-01,2.000000000000000000e+00
3.453768844221098977e-01,2.000000000000000000e+00
2.400000000000000061e-05,2.000000000000000000e+00
2.290167865707431749e-01,3.000000000000000000e+00
1.126666666666666788e-01,3.000000000000000000e+00
5.237302248126560894e-02,3.000000000000000000e+00
1.654421768707481019e-02,3.000000000000000000e+00
2.545539906103289063e-01,3.000000000000000000e+00
6.909535452322737581e-02,3.000000000000000000e+00
1.865329512893983133e-02,3.000000000000000000e+00
2.753138075313807734e-02,3.000000000000000000e+00
5.134432234432233511e-01,3.000000000000000000e+00
1.719512195121952192e-01,3.000000000000000000e+00
2.821040723981901865e-01,3.000000000000000000e+00
1.758768656716415690e-01,3.000000000000000000e+00
3.455870445344130792e-01,3.000000000000000000e+00
2.344791666666667662e-01,3.000000000000000000e+00
5.132474701011956880e-02,3.000000000000000000e+00
3.430188679245282923e-01,3.000000000000000000e+00
1.293827160493825693e-02,3.000000000000000000e+00
1.794237695078032546e-01,3.000000000000000000e+00
