AU,ex
4.669504643962857360e-01,0.000000000000000000e+00
8.229239766081871688e-01,0.000000000000000000e+00
5.009024745269281542e-01,0.000000000000000000e+00
7.508263473053893300e-01,0.000000000000000000e+00
5.237086092715227403e-01,0.000000000000000000e+00
6.725842696629213968e-02,0.000000000000000000e+00
1.570588235294118340e-01,0.000000000000000000e+00
1.535358758888170638e-01,0.000000000000000000e+00
5.425666460012399384e-01,0.000000000000000000e+00
1.134169491525423235e+00,0.000000000000000000e+00
5.498346055979639324e-01,0.000000000000000000e+00
4.352024922118382100e-01,0.000000000000000000e+00
6.921393841166938454e-01,0.000000000000000000e+00
3.932047477744807784e-01,0.000000000000000000e+00
2.927777777777777479e-01,0.000000000000000000e+00
1.941709133673068521e-01,0.000000000000000000e+00
4.755662650602411334e-01,0.000000000000000000e+00
2.524491135915958306e-01,0.000000000000000000e+00
4.054406696208768257e-01,0.000000000000000000e+00
5.094187582562746952e-01,0.000000000000000000e+00
4.931079378412416836e-01,0.000000000000000000e+00
7.998936513051875252e-01,0.000000000000000000e+00
3.914170692431560572e-01,0.000000000000000000e+00
6.899643493761162816e-01,0.000000000000000000e+00
3.799055030572541236e-01,0.000000000000000000e+00
4.781989247311830837e-01,0.000000000000000000e+00
7.353488372093024417e-01,0.000000000000000000e+00
8.548011363636358606e-01,0.000000000000000000e+00
7.367713444553483093e-01,0.000000000000000000e+00
4.587952941176455246e-01,0.000000000000000000e+00
3.133388796450359282e-01,0.000000000000000000e+00
5.035924834193067356e-01,0.000000000000000000e+00
4.970199999999993512e-01,0.000000000000000000e+00
7.310475161987048942e-01,0.000000000000000000e+00
3.832225063938624054e-01,0.000000000000000000e+00
5.252170658682642213e-01,0.000000000000000000e+00
8.803450655624573962e-01,0.000000000000000000e+00
2.993877551020407424e-01,0.000000000000000000e+00
3.255693470048562910e-01,0.000000000000000000e+00
4.609119496855345055e-01,0.000000000000000000e+00
7.346498054474691619e-01,0.000000000000000000e+00
2.098433675966714096e-01,0.000000000000000000e+00
7.694104560622920530e-02,0.000000000000000000e+00
2.266366243342886333e-01,0.000000000000000000e+00
2.234413309982488938e-01,0.000000000000000000e+00
1.125150841536994573e-01,0.000000000000000000e+00
1.486138613861386348e-01,0.000000000000000000e+00
5.716559391456983441e-01,0.000000000000000000e+00
2.136693548387094133e-01,0.000000000000000000e+00
