AU,ex
1.155662921348314498e+00,0.000000000000000000e+00
2.723396613648028652e-01,0.000000000000000000e+00
1.239521956642579137e-01,0.000000000000000000e+00
1.923267326732673241e-02,0.000000000000000000e+00
3.711627906976744939e-01,0.000000000000000000e+00
2.422300263388939001e-01,0.000000000000000000e+00
5.612103174603174649e-01,0.000000000000000000e+00
8.144927536231884313e-02,0.000000000000000000e+00
5.872767609539659706e-01,0.000000000000000000e+00
5.582386363636364889e-03,0.000000000000000000e+00
1.177448071216617986e-01,0.000000000000000000e+00
2.182406907717215905e-02,0.000000000000000000e+00
2.768402574605030586e-01,0.000000000000000000e+00
2.606541218637993818e-01,0.000000000000000000e+00
1.526155878467634619e-01,0.000000000000000000e+00
1.459764991896270736e-01,0.000000000000000000e+00
3.203784570596799886e-01,0.000000000000000000e+00
3.298412698412697686e-01,0.000000000000000000e+00
2.667251461988304206e-01,0.000000000000000000e+00
2.527601809954753698e-01,0.000000000000000000e+00
1.913700000000001511e-01,0.000000000000000000e+00
4.463058823529422736e-02,0.000000000000000000e+00
7.412416851441244736e-02,0.000000000000000000e+00
2.577645788336934696e-01,0.000000000000000000e+00
5.296692111959282467e-01,0.000000000000000000e+00
8.952540949181019003e-02,0.000000000000000000e+00
2.818548387096773966e-02,0.000000000000000000e+00
9.946584938704038092e-02,0.000000000000000000e+00
1.349841395717684966e-01,0.000000000000000000e+00
2.001058408467266125e-01,0.000000000000000000e+00
1.613329200247984041e-01,0.000000000000000000e+00
1.487429289754871875e-01,0.000000000000000000e+00
5.772131954702112155e-01,0.000000000000000000e+00
1.368055555555555358e+00,0.000000000000000000e+00
3.807788161993769793e-01,0.000000000000000000e+00
1.522185430463577627e-01,0.000000000000000000e+00
4.143790849673200521e-02,0.000000000000000000e+00
4.172755417956658386e-01,0.000000000000000000e+00
2.241197604790419462e-01,0.000000000000000000e+00
1.327324866857843844e-01,0.000000000000000000e+00
6.572881355932206349e-01,0.000000000000000000e+00
5.418012422360242164e-01,0.000000000000000000e+00
4.454457831325303041e-01,0.000000000000000000e+00
4.089355742296917340e-01,0.000000000000000000e+00
2.137275449101796176e-01,0.000000000000000000e+00
4.333333333333332787e-02,0.000000000000000000e+00
2.027839789888377375e-01,0.000000000000000000e+00
6.375417130144606093e-02,0.000000000000000000e+00
4.585562359007412658e-02,0.000000000000000000e+00
1.447870778267255076e-01,0.000000000000000000e+00
2.634106065417587406e-01,0.000000000000000000e+00
9.973877551020407517e-02,0.000000000000000000e+00
1.128404669260699850e-01,0.000000000000000000e+00
2.916010498687664210e-02,0.000000000000000000e+00
7.860749185667750827e-02,0.000000000000000000e+00
5.267909715407272098e-02,0.000000000000000000e+00
6.508474576271180978e-02,0.000000000000000000e+00
1.678260869565217639e-01,0.000000000000000000e+00
2.396226415094339923e-01,1.000000000000000000e+00
2.150263435194942896e-01,2.000000000000000000e+00
1.758768656716415690e-01,3.000000000000000000e+00
5.134432234432233511e-01,3.000000000000000000e+00
1.719512195121952192e-01,3.000000000000000000e+00
1.126666666666666788e-01,3.000000000000000000e+00
4.023766816143499736e-01,3.000000000000000000e+00
1.015482233502538328e-01,4.000000000000000000e+00
2.265289256198349255e-01,4.000000000000000000e+00
1.191348600508905925e-01,5.000000000000000000e+00
6.093333333333335045e-01,5.000000000000000000e+00
9.178338001867403229e-03,5.000000000000000000e+00
1.672413793103448218e-02,5.000000000000000000e+00
1.277034559643255296e-01,5.000000000000000000e+00
1.903100775193797833e-01,5.000000000000000000e+00
3.448387096774193084e-01,5.000000000000000000e+00
