AU,ex
9.158988764044949660e-01,0.000000000000000000e+00
3.444638276038990976e-01,0.000000000000000000e+00
-1.309672040022235306e-01,0.000000000000000000e+00
3.353217821782178421e-01,0.000000000000000000e+00
3.490697674418604679e-01,0.000000000000000000e+00
4.768217734855135226e-01,0.000000000000000000e+00
5.507142857142857117e-01,0.000000000000000000e+00
6.257165861513687144e-01,0.000000000000000000e+00
6.055962285080419560e-01,0.000000000000000000e+00
5.757102272727279008e-02,0.000000000000000000e+00
1.798664688427301650e-01,0.000000000000000000e+00
1.758985429033992076e-01,0.000000000000000000e+00
5.330836746635458923e-01,0.000000000000000000e+00
4.240949820788528224e-01,0.000000000000000000e+00
1.010449141347424362e+00,0.000000000000000000e+00
1.772730956239870204e-01,0.000000000000000000e+00
4.015866084425035454e-01,0.000000000000000000e+00
4.077063492063490724e-01,0.000000000000000000e+00
7.328070175438599065e-01,0.000000000000000000e+00
1.490562378797673504e-01,0.000000000000000000e+00
6.646999999999995135e-01,0.000000000000000000e+00
2.022588235294115744e-01,0.000000000000000000e+00
6.218477457501846439e-01,0.000000000000000000e+00
2.852375809935203677e-01,0.000000000000000000e+00
4.021501272264634275e-01,0.000000000000000000e+00
7.205501889962201423e-01,0.000000000000000000e+00
2.487970430107528386e-01,0.000000000000000000e+00
4.065849387040276208e-01,0.000000000000000000e+00
5.503846153846141398e-01,0.000000000000000000e+00
4.205096040768323551e-01,0.000000000000000000e+00
4.347985120892741695e-01,0.000000000000000000e+00
4.653488372093020908e-01,0.000000000000000000e+00
1.009369768586902527e+00,0.000000000000000000e+00
1.237222222222222445e+00,0.000000000000000000e+00
5.253582554517131076e-01,0.000000000000000000e+00
6.121523178807941612e-01,0.000000000000000000e+00
5.627599524658344343e-01,0.000000000000000000e+00
4.103869969040252474e-01,0.000000000000000000e+00
6.363353293413168688e-01,0.000000000000000000e+00
6.375665710774260919e-01,0.000000000000000000e+00
6.468135593220339929e-01,0.000000000000000000e+00
4.036024844720499383e-01,0.000000000000000000e+00
7.173493975903613706e-02,0.000000000000000000e+00
5.879621848739504664e-01,0.000000000000000000e+00
3.713473053892212827e-01,0.000000000000000000e+00
1.460377358490566324e-01,0.000000000000000000e+00
4.280499015101776328e-01,0.000000000000000000e+00
3.655339265850950925e-01,0.000000000000000000e+00
2.851563003544952402e-01,0.000000000000000000e+00
1.116544297601565899e-01,0.000000000000000000e+00
6.165925690695436279e-01,0.000000000000000000e+00
9.177714285714272391e-01,0.000000000000000000e+00
1.493579766536965447e-01,0.000000000000000000e+00
1.539370078740157632e-01,0.000000000000000000e+00
5.923452768729629003e-01,0.000000000000000000e+00
3.518351324828253301e-01,0.000000000000000000e+00
4.627487103905678772e-02,0.000000000000000000e+00
2.989514066496162803e-01,0.000000000000000000e+00
1.409433962264150797e-01,1.000000000000000000e+00
5.003582718651209404e-01,2.000000000000000000e+00
6.916044776119409376e-02,3.000000000000000000e+00
5.219780219780223440e-01,3.000000000000000000e+00
1.467405764966741577e-01,3.000000000000000000e+00
5.485714285714285432e-02,3.000000000000000000e+00
3.727802690582959211e-01,3.000000000000000000e+00
8.327411167512692447e-02,4.000000000000000000e+00
2.577272727272726938e-01,4.000000000000000000e+00
2.718320610687024463e-01,5.000000000000000000e+00
6.239999999999999991e-01,5.000000000000000000e+00
2.136507936507939520e-01,5.000000000000000000e+00
5.195402298850575196e-02,5.000000000000000000e+00
4.075473801560754450e-01,5.000000000000000000e+00
7.165116279069764227e-01,5.000000000000000000e+00
4.723118279569894495e-01,5.000000000000000000e+00
