AU,ex
4.581320450885668222e-02,0.000000000000000000e+00
5.025882352941176898e-03,0.000000000000000000e+00
2.311984126984127363e-01,0.000000000000000000e+00
1.976140155728585424e-01,0.000000000000000000e+00
2.599417758369722553e-01,0.000000000000000000e+00
3.217922205809952141e-01,0.000000000000000000e+00
5.144796380090498750e-02,0.000000000000000000e+00
6.729571984435801790e-02,0.000000000000000000e+00
3.943811074918564946e-02,0.000000000000000000e+00
1.605295950155763429e-01,0.000000000000000000e+00
2.424580090126995380e-01,0.000000000000000000e+00
1.225038481272448521e-01,0.000000000000000000e+00
8.890269151138717463e-02,0.000000000000000000e+00
2.284920634920634686e-01,0.000000000000000000e+00
7.906938775510197193e-02,0.000000000000000000e+00
1.144039735099338373e-01,0.000000000000000000e+00
2.054455445544554199e-02,0.000000000000000000e+00
9.068286277084704194e-02,0.000000000000000000e+00
7.296385542168672134e-02,0.000000000000000000e+00
5.407970784375983886e-01,0.000000000000000000e+00
2.340999206978588987e-02,0.000000000000000000e+00
2.450080949811119652e-02,0.000000000000000000e+00
1.005895357406042835e-03,0.000000000000000000e+00
8.010347376201035208e-02,0.000000000000000000e+00
2.196857322438719728e-01,0.000000000000000000e+00
2.181871345029239850e-01,0.000000000000000000e+00
7.266194005800843958e-02,0.000000000000000000e+00
5.204973118279571098e-02,0.000000000000000000e+00
-1.519622012229016605e-01,0.000000000000000000e+00
9.943181818181817157e-04,0.000000000000000000e+00
1.001355932203389920e-01,0.000000000000000000e+00
4.517811704834605313e-02,0.000000000000000000e+00
5.360583153347731056e-01,0.000000000000000000e+00
7.712112346401404916e-02,0.000000000000000000e+00
5.140599675850892475e-02,0.000000000000000000e+00
4.820851688693100767e-02,0.000000000000000000e+00
1.733503836317136226e-01,0.000000000000000000e+00
9.272442179537430940e-02,0.000000000000000000e+00
1.098745519713261731e-01,0.000000000000000000e+00
1.359048877146631917e-01,0.000000000000000000e+00
6.469816272965878828e-03,0.000000000000000000e+00
2.573975044563280024e-02,0.000000000000000000e+00
1.346810870770937252e-01,0.000000000000000000e+00
