AU,ex
4.299516908212560606e-01,0.000000000000000000e+00
3.647058823529411575e-01,0.000000000000000000e+00
2.285714285714285643e-01,0.000000000000000000e+00
3.820912124582869773e-01,0.000000000000000000e+00
2.358078602620087283e-01,0.000000000000000000e+00
4.470704086656819287e-01,0.000000000000000000e+00
1.965093729799612110e-01,0.000000000000000000e+00
2.334630350194552562e-02,0.000000000000000000e+00
3.729641693811074910e-01,0.000000000000000000e+00
1.962616822429906482e-01,0.000000000000000000e+00
4.223678820155674085e-01,0.000000000000000000e+00
2.611595690097485711e-01,0.000000000000000000e+00
2.132505175983436807e-01,0.000000000000000000e+00
1.924603174603174705e-01,0.000000000000000000e+00
5.224489795918367541e-02,0.000000000000000000e+00
8.062913907284767756e-01,0.000000000000000000e+00
2.128712871287128661e-01,0.000000000000000000e+00
2.028890347997373556e-01,0.000000000000000000e+00
1.204819277108433798e-02,0.000000000000000000e+00
9.558590028580501996e-02,0.000000000000000000e+00
3.965107057890562836e-03,0.000000000000000000e+00
4.317323259579061018e-03,0.000000000000000000e+00
3.352984524686809104e-02,0.000000000000000000e+00
1.056910569105691117e-01,0.000000000000000000e+00
2.979258328095537589e-01,0.000000000000000000e+00
1.345029239766081797e-01,0.000000000000000000e+00
8.088946181115050371e-02,0.000000000000000000e+00
5.510752688172042973e-02,0.000000000000000000e+00
7.392996108949416445e-02,0.000000000000000000e+00
2.840909090909090988e-03,0.000000000000000000e+00
1.288135593220338937e-01,0.000000000000000000e+00
3.231552162849872789e-01,0.000000000000000000e+00
5.615550755939524574e-02,0.000000000000000000e+00
2.773551784669397446e-01,0.000000000000000000e+00
3.691247974068071480e-01,0.000000000000000000e+00
1.722956436612824160e-01,0.000000000000000000e+00
2.787723785166240642e-01,0.000000000000000000e+00
1.963935711485692015e-01,0.000000000000000000e+00
2.562724014336917322e-01,0.000000000000000000e+00
1.241743725231175682e-01,0.000000000000000000e+00
9.186351706036745002e-01,0.000000000000000000e+00
3.039215686274509554e-01,0.000000000000000000e+00
2.196339434276206315e-01,0.000000000000000000e+00
8.403361344537815802e-02,0.000000000000000000e+00
1.602373887240356176e-01,0.000000000000000000e+00
7.322212467076383291e-01,0.000000000000000000e+00
3.389221556886227726e-01,0.000000000000000000e+00
5.277777777777777901e-01,0.000000000000000000e+00
5.031446540880503415e-02,0.000000000000000000e+00
2.031523642732049051e-01,0.000000000000000000e+00
2.060843964671246406e-02,0.000000000000000000e+00
1.627906976744186163e-01,0.000000000000000000e+00
3.056179775280898903e-01,0.000000000000000000e+00
4.846703065938681165e-01,0.000000000000000000e+00
