AU,ex
3.691247974068071480e-01,0.000000000000000000e+00
4.846703065938681165e-01,0.000000000000000000e+00
3.820912124582869773e-01,0.000000000000000000e+00
1.965093729799612110e-01,0.000000000000000000e+00
2.773551784669397446e-01,0.000000000000000000e+00
2.334630350194552562e-02,0.000000000000000000e+00
2.008679479231246234e-01,0.000000000000000000e+00
5.031446540880503415e-02,0.000000000000000000e+00
2.028890347997373556e-01,0.000000000000000000e+00
4.223678820155674085e-01,0.000000000000000000e+00
2.840909090909090988e-03,0.000000000000000000e+00
1.722956436612824160e-01,0.000000000000000000e+00
5.224489795918367541e-02,0.000000000000000000e+00
7.934131736526946199e-02,0.000000000000000000e+00
7.699999999999999900e-02,0.000000000000000000e+00
9.558590028580501996e-02,0.000000000000000000e+00
8.403361344537815802e-02,0.000000000000000000e+00
3.647058823529411575e-01,0.000000000000000000e+00
1.288135593220338937e-01,0.000000000000000000e+00
4.317323259579061018e-03,0.000000000000000000e+00
5.510752688172042973e-02,0.000000000000000000e+00
3.389221556886227726e-01,0.000000000000000000e+00
4.470704086656819287e-01,0.000000000000000000e+00
2.358078602620087283e-01,0.000000000000000000e+00
1.962616822429906482e-01,0.000000000000000000e+00
1.241743725231175682e-01,0.000000000000000000e+00
1.924603174603174705e-01,0.000000000000000000e+00
1.602373887240356176e-01,0.000000000000000000e+00
5.615550755939524574e-02,0.000000000000000000e+00
2.031523642732049051e-01,0.000000000000000000e+00
1.627906976744186163e-01,0.000000000000000000e+00
1.963935711485692015e-01,0.000000000000000000e+00
5.277777777777777901e-01,0.000000000000000000e+00
3.729641693811074910e-01,0.000000000000000000e+00
3.352984524686809104e-02,0.000000000000000000e+00
2.979258328095537589e-01,0.000000000000000000e+00
2.611595690097485711e-01,0.000000000000000000e+00
2.132505175983436807e-01,0.000000000000000000e+00
1.345029239766081797e-01,0.000000000000000000e+00
1.056910569105691117e-01,0.000000000000000000e+00
3.312693498452012331e-01,0.000000000000000000e+00
1.204819277108433798e-02,0.000000000000000000e+00
3.965107057890562836e-03,0.000000000000000000e+00
2.562724014336917322e-01,0.000000000000000000e+00
3.231552162849872789e-01,0.000000000000000000e+00
7.322212467076383291e-01,0.000000000000000000e+00
7.392996108949416445e-02,0.000000000000000000e+00
9.186351706036745002e-01,0.000000000000000000e+00
8.088946181115050371e-02,0.000000000000000000e+00
2.128712871287128661e-01,0.000000000000000000e+00
2.196339434276206315e-01,0.000000000000000000e+00
2.060843964671246406e-02,0.000000000000000000e+00
3.056179775280898903e-01,0.000000000000000000e+00
4.299516908212560606e-01,0.000000000000000000e+00
2.787723785166240642e-01,0.000000000000000000e+00
8.062913907284767756e-01,0.000000000000000000e+00
2.285714285714285643e-01,0.000000000000000000e+00
3.039215686274509554e-01,0.000000000000000000e+00
7.317073170731707744e-03,1.000000000000000000e+00
6.037735849056603543e-01,1.000000000000000000e+00
7.376185458377239323e-02,2.000000000000000000e+00
2.177554438860971608e-01,2.000000000000000000e+00
2.903811252268602427e-02,2.000000000000000000e+00
1.208285385500575404e-01,2.000000000000000000e+00
1.300448430493273411e-01,3.000000000000000000e+00
3.104212860310421457e-02,3.000000000000000000e+00
4.524886877828054182e-02,3.000000000000000000e+00
1.476190476190476220e-01,3.000000000000000000e+00
3.428571428571428603e-01,3.000000000000000000e+00
1.453974895397489586e-01,3.000000000000000000e+00
1.915070774354704283e-02,3.000000000000000000e+00
5.421245421245420859e-01,3.000000000000000000e+00
2.374100719424460382e-01,3.000000000000000000e+00
2.611940298507462593e-02,3.000000000000000000e+00
7.168831168831168998e-01,3.000000000000000000e+00
3.441295546558704177e-01,3.000000000000000000e+00
2.206572769953051572e-01,3.000000000000000000e+00
3.092105263157894912e-01,3.000000000000000000e+00
1.280276816608996449e-01,4.000000000000000000e+00
3.237338629592850237e-01,4.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00
6.481481481481481122e-02,4.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00
8.431703204047218125e-02,4.000000000000000000e+00
1.243654822335025362e-01,4.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00
2.999143101970865380e-02,4.000000000000000000e+00
2.522522522522522292e-01,4.000000000000000000e+00
6.091954022988506079e-01,5.000000000000000000e+00
7.046979865771811624e-02,5.000000000000000000e+00
5.147679324894515185e-01,5.000000000000000000e+00
3.525641025641025883e-01,5.000000000000000000e+00
4.108309990662931815e-02,5.000000000000000000e+00
9.141583054626532812e-02,5.000000000000000000e+00
5.343511450381679267e-02,5.000000000000000000e+00
3.875968992248061962e-02,5.000000000000000000e+00
2.150537634408602183e-01,5.000000000000000000e+00
2.888888888888888618e-01,5.000000000000000000e+00
